epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5945.26,0.36594,1.28715,0.97912,0.6051,0.74592,0.68219,0.63289,0.30043,1.25712,0.57812,0.00047611,0.00047611,0.00047611
2,10166.8,0.28262,1.023,0.93313,0.71838,0.83265,0.81944,0.76504,0.37875,0.79129,0.58788,0.000905297,0.000905297,0.000905297
3,14208.9,0.26423,0.97451,0.92437,0.83405,0.81314,0.89328,0.79114,0.42949,0.73374,0.63056,0.00128733,0.00128733,0.00128733
4,18174.7,0.20789,0.88331,0.90983,0.63757,0.70297,0.7515,0.68478,0.51495,1.0005,0.69658,0.00121679,0.00121679,0.00121679
5,22198.7,0.18703,0.83791,0.90228,0.83712,0.8512,0.92695,0.87939,0.29484,0.61198,0.56925,0.00114606,0.00114606,0.00114606
6,26056.1,0.17169,0.79684,0.90133,0.83236,0.89899,0.92028,0.90357,0.23408,0.5381,0.515,0.00107532,0.00107532,0.00107532
7,29902,0.15815,0.7798,0.89481,0.79618,0.91375,0.94822,0.92153,0.29544,0.53482,0.55895,0.00100459,0.00100459,0.00100459
8,33743.3,0.13831,0.72174,0.88823,0.96305,0.9584,0.98676,0.98392,0.16415,0.33028,0.49075,0.000933851,0.000933851,0.000933851
9,37705.2,0.12871,0.68635,0.88928,0.95103,0.94457,0.97559,0.95342,0.19901,0.33329,0.5149,0.000863116,0.000863116,0.000863116
10,41612.7,0.12292,0.6761,0.8871,0.91241,0.92083,0.96756,0.95311,0.20637,0.42959,0.51696,0.00079238,0.00079238,0.00079238
11,45503.7,0.10641,0.32554,0.85844,0.94847,0.90574,0.97966,0.97618,0.20659,0.41535,0.49556,0.000721645,0.000721645,0.000721645
12,49393.6,0.08951,0.27512,0.8523,0.92518,0.92968,0.97507,0.94063,0.23932,0.43826,0.52564,0.000650909,0.000650909,0.000650909
13,53302.3,0.07859,0.2365,0.84934,0.95292,0.96398,0.98432,0.97589,0.20028,0.3719,0.50734,0.000580174,0.000580174,0.000580174
14,57213.8,0.07412,0.21923,0.85516,0.9103,0.96638,0.98012,0.9719,0.18877,0.42855,0.49996,0.000509438,0.000509438,0.000509438
15,63423.6,0.06684,0.17845,0.85345,0.91627,0.91234,0.96867,0.95578,0.21081,0.46796,0.51036,0.000438703,0.000438703,0.000438703
16,70352.1,0.05685,0.15784,0.84876,0.95957,0.95588,0.98894,0.98295,0.17002,0.36248,0.49375,0.000367967,0.000367967,0.000367967
17,75664.7,0.05354,0.14573,0.85226,0.96632,0.96465,0.99166,0.98947,0.16035,0.29879,0.49048,0.000297232,0.000297232,0.000297232
18,79625.2,0.04921,0.13453,0.84596,0.93642,0.96776,0.98756,0.9823,0.1866,0.38573,0.50755,0.000226497,0.000226497,0.000226497
19,83585.3,0.04371,0.10741,0.84581,0.96327,0.97369,0.99267,0.99054,0.18336,0.34235,0.50637,0.000155761,0.000155761,0.000155761
20,87518.1,0.03845,0.10048,0.84783,0.98155,0.97251,0.99338,0.99146,0.17423,0.31762,0.4977,8.50255e-05,8.50255e-05,8.50255e-05
